ZONE T="boundary0"
-0.0447127 -0.142678 
-0.0454626 -0.143751 
-0.0439685 -0.141602 
-0.0424969 -0.139436 
-0.0432299 -0.140521 
-0.0557135 -0.15733 
-0.0396223 -0.13506 
-0.038918 -0.133957 
-0.0382195 -0.13285 
-0.0375268 -0.131739 
-0.0417697 -0.138348 
-0.0354838 -0.128385 
-0.0348145 -0.12726 
-0.03684 -0.130625 
-0.0361589 -0.129507 
-0.0341511 -0.126132 
-0.0334936 -0.125 
-0.0328421 -0.123865 
-0.0315569 -0.121584 
-0.0302957 -0.11929 
-0.0296741 -0.118138 
-0.0272484 -0.113498 
-0.0278457 -0.114662 
-0.0321965 -0.122726 
-0.0290586 -0.116982 
-0.0309233 -0.120438 
-0.0266572 -0.11233 
-0.0260721 -0.111159 
-0.0254931 -0.109985 
-0.0249203 -0.108808 
-0.023239 -0.105259 
-0.0237932 -0.106445 
-0.0243537 -0.107628 
-0.0284491 -0.115824 
-0.022691 -0.10407 
-0.0216136 -0.101684 
-0.0210844 -0.100487 
-0.0205613 -0.099287 
-0.0200446 -0.0980843 
-0.0190301 -0.0956709 
-0.0195342 -0.0968789 
-0.0221492 -0.102879 
-0.0180409 -0.0932469 
-0.0175559 -0.0920311 
-0.0185324 -0.0944602 
-0.0166049 -0.089592 
-0.016139 -0.0883687 
-0.0152264 -0.0859149 
-0.0156795 -0.087143 
-0.0147798 -0.0846845 
-0.0139059 -0.0822167 
-0.0134787 -0.0809794 
-0.0130579 -0.0797398 
-0.0126436 -0.0784981 
-0.0122359 -0.0772542 
-0.0143396 -0.0834517 
-0.0114399 -0.0747602 
-0.0106701 -0.0722579 
-0.0102951 -0.0710038 
-0.0110517 -0.0735101 
-0.0118346 -0.0760083 
-0.00992658 -0.0697478 
-0.00886065 -0.0659683 
-0.00851854 -0.0647048 
-0.00818306 -0.0634395 
-0.00956467 -0.0684898 
-0.00721643 -0.0596334 
-0.007532 -0.0609038 
-0.00920936 -0.06723 
-0.00785421 -0.0621725 
-0.00690752 -0.0583613 
-0.0054631 -0.0519779 
-0.00602081 -0.0545358 
-0.00573861 -0.0532576 
-0.0051943 -0.0506968 
-0.00493221 -0.0494143 
-0.00660527 -0.0570877 
-0.0063097 -0.0558125 
-0.00467683 -0.0481305 
-0.00372267 -0.0429823 
-0.00350099 -0.0416922 
-0.00307791 -0.0391086 
-0.00328607 -0.040401 
-0.00287653 -0.0378152 
-0.00249409 -0.0352253 
-0.00231304 -0.0339289 
-0.00213878 -0.0326315 
-0.00197132 -0.0313333 
-0.00181066 -0.0300342 
-0.00268192 -0.0365208 
-0.00150976 -0.0274336 
-0.00136953 -0.0261321 
-0.00123611 -0.0248299 
-0.000989734 -0.0222236 
-0.000876785 -0.0209195 
-0.00165681 -0.0287343 
-0.00110951 -0.0235271 
-0.000770667 -0.0196148 
-0.000671381 -0.0183095 
-0.00057893 -0.0170038 
-0.000493318 -0.0156976 
-0.000414546 -0.014391 
-0.000277531 -0.0117766 
-0.000219292 -0.0104689 
-0.000167902 -0.00916093 
-0.00012336 -0.00785269 
-8.56688e-05 -0.00654424 
-5.48291e-05 -0.0052356 
-0.000342616 -0.013084 
-3.08419e-05 -0.00392683 
-3.42694e-06 -0.00130899 
-3.42694e-06 0.00130899 
0 5.55112e-17 
-1.37077e-05 -0.00261795 
-0.0039511 -0.0442712 
-0.0170772 -0.0908128 
-1.37077e-05 0.00261795 
-0.0315569 0.121584 
-0.0309233 0.120438 
-0.0354838 0.128385 
-0.0348145 0.12726 
-0.0321965 0.122726 
-0.0361589 0.129507 
-0.0272484 0.113498 
-0.0278457 0.114662 
-0.0341511 0.126132 
-0.0334936 0.125 
-0.0302957 0.11929 
-0.0328421 0.123865 
-0.0375268 0.131739 
-0.0382195 0.13285 
-0.0432299 0.140521 
-0.03684 0.130625 
-0.0424969 0.139436 
-0.0439685 0.141602 
-0.0221492 0.102879 
-0.022691 0.10407 
-0.038918 0.133957 
-0.0396223 0.13506 
-0.0403324 0.13616 
-0.023239 0.105259 
-0.0237932 0.106445 
-0.0200446 0.0980843 
-0.0195342 0.0968789 
-0.0243537 0.107628 
-0.0180409 0.0932469 
-0.0175559 0.0920311 
-0.0216136 0.101684 
-0.0210844 0.100487 
-0.0185324 0.0944602 
-0.0190301 0.0956709 
-0.0260721 0.111159 
-0.0284491 0.115824 
-0.0290586 0.116982 
-0.0296741 0.118138 
-0.0266572 0.11233 
-0.0249203 0.108808 
-0.0254931 0.109985 
-0.0205613 0.099287 
-0.0447127 0.142678 
-0.0598985 0.162362 
-0.059051 0.161364 
-0.0650922 0.168253 
-0.0642138 0.167283 
-0.0659757 0.169219 
-0.0668643 0.17018 
-0.0607512 0.163355 
-0.0548924 0.156311 
-0.0540766 0.155287 
-0.0616092 0.164344 
-0.0582087 0.160362 
-0.0633405 0.166308 
-0.0732233 0.176777 
-0.0677578 0.171137 
-0.0695599 0.173036 
-0.0686564 0.172089 
-0.0624722 0.165328 
-0.0723001 0.175849 
-0.0462181 0.14482 
-0.0500788 0.150105 
-0.0492956 0.149056 
-0.0454626 0.143751 
-0.0469791 0.145885 
-0.0565399 0.158345 
-0.0557135 0.15733 
-0.0508675 0.15115 
-0.0573717 0.159356 
-0.0532662 0.154259 
-0.0524612 0.153227 
-0.0477458 0.146946 
-0.0485179 0.148003 
-0.0516617 0.15219 
-0.00150976 0.0274336 
-0.00165681 0.0287343 
-0.00181066 0.0300342 
-0.00231304 0.0339289 
-0.000770667 0.0196148 
-0.000671381 0.0183095 
-0.00197132 0.0313333 
-0.000876785 0.0209195 
-0.00136953 0.0261321 
-0.00249409 0.0352253 
-0.00268192 0.0365208 
-0.00467683 0.0481305 
-0.00442819 0.0468453 
-0.00418627 0.0455589 
-0.00493221 0.0494143 
-0.00307791 0.0391086 
-0.00328607 0.040401 
-0.00350099 0.0416922 
-0.00287653 0.0378152 
-0.00213878 0.0326315 
-0.00372267 0.0429823 
-0.0143396 0.0834517 
-0.00012336 0.00785269 
-8.56688e-05 0.00654424 
-5.48291e-05 0.0052356 
-3.08419e-05 0.00392683 
-0.000277531 0.0117766 
-0.000414546 0.014391 
-0.000493318 0.0156976 
-0.000342616 0.013084 
-0.000989734 0.0222236 
-0.00110951 0.0235271 
-0.00057893 0.0170038 
-0.000167902 0.00916093 
-0.000219292 0.0104689 
-0.0106701 0.0722579 
-0.0102951 0.0710038 
-0.0147798 0.0846845 
-0.0114399 0.0747602 
-0.0110517 0.0735101 
-0.0152264 0.0859149 
-0.0139059 0.0822167 
-0.00992658 0.0697478 
-0.0126436 0.0784981 
-0.0122359 0.0772542 
-0.0134787 0.0809794 
-0.0130579 0.0797398 
-0.00956467 0.0684898 
-0.00920936 0.06723 
